RENE_FINAL;ABONO_OFERTADO;CONSUMO_SBIF;EDAD;SEXO_BIN;SCORE;DEUDA_PROM3;PROME_UTILIZACION_3MESES;PROME_LINEA_CREDITO_3MESES;PROME_CANT_INSTITU_3MESES;SUMA_MOROSA_3MESES;Deuda_Char_008;Pago_Char_008
0;61320;344;29;0;429;327681;0.936666667;62;1;45;3;0
0;36090;1231;48;1;466;496703;0.77;147;2;0;0;5
0;9520;487;41;1;397;184216;1;40;3;292;2;0
0;146100;9935;30;1;487;3814027;0.98;636;5;79;7;2
0;11220;4608;36;1;397;104704;1;9;3;821;3;0
0;0;869;68;0;501;365789;0.123333333;2661;2;0;5;9
0;23688;7864;43;0;503;726108;0.943333333;602;5;0;4;13
0;22120;3831;64;0;481;854702;0.786666667;5823;4;0;5;5
0;95940;511;32;0;472;482051;0.98;9;1;0;1;12
0;42210;1419;53;0;416;406009;1;22;2;30;1;0
0;46510;1337;61;1;427;1280240;1;200;1;0;0;0
0;31526;9299;43;0;432;158787;0.33;275;2;1;4;12
0;51460;7165;31;1;430;483485;0.97;350;3;1295;2;18
0;0;2821;82;0;512;326415;0.776666667;93;2;185;5;10
0;36298;4994;37;1;467;473389;0.833333333;910;4;0;0;1
0;142610;5593;33;0;433;2622815;0.74;628;4;284;7;8
1;22250;226;50;0;447;212881;0.49;77;1;38;1;0
1;95600;2131;36;0;460;524519;1;0;4;0;5;16
0;263720;9368;44;1;423;5103392;1;246;4;504;4;1
0;59120;536;69;0;497;320650;0.616666667;0;2;0;9;12
0;23200;1482;75;0;455;707838;0.83;846;2;23;9;3
0;18090;9028;35;1;388;346253;1;95;5;322;3;0
0;13360;16507;56;1;448;87301;0.03;21140;2;10;2;0
0;42480;11823;50;1;392;671978;1;45;5;1098;0;0
0;44940;4824;32;0;418;4158287;1;87;2;91;1;1
1;32880;1580;23;0;399;319377;1;0;3;714;5;8
0;11580;2996;35;0;370;208087;0.99;327;2;94;0;0
1;0;17803;76;1;511;4035721;0.703333333;2867;4;0;5;0
0;22594;5148;77;1;476;466215;0.716666667;455;4;0;9;9
1;35680;5123;56;1;407;673276;0.886666667;0;3;244;4;0
0;22150;225;46;0;396;109691;1;335;2;23;2;3
0;29980;984;66;1;444;623910;0.533333333;0;3;244;7;6
0;56180;1210;26;1;373;1073201;1;48;3;186;2;0
0;23414;6892;38;0;491;208311;0.076666667;7165;5;50;2;16
0;25460;6377;44;1;481;635838;1;0;4;0;5;3
0;66570;50047;29;0;394;330108;1;0;6;1578;4;7
0;155900;2266;49;1;411;2220973;0.996666667;0;1;163;4;0
0;16637;4931;45;0;506;186382;0.62;604;4;76;4;13
0;0;1753;70;1;555;335180;0.64;2042;4;0;6;32
0;39620;12449;36;1;374;520811;0.99;504;3;99;1;6
0;46820;1818;30;1;482;225753;0.453333333;187;3;124;1;16
0;47140;11749;56;1;429;552351;0.56;483;3;121;2;16
1;0;10882;52;0;522;3586412;0.856666667;3879;5;0;6;4
0;19100;2989;38;0;412;180651;0.803333333;0;3;2466;0;0
0;0;3800;33;0;517;3245512;0.39;6730;3;0;9;14
0;11890;408;24;1;419;212622;0.71;0;2;145;4;0
0;29480;144;59;0;461;162736;0.506666667;56;1;69;8;15
0;309230;29149;45;0;456;3164959;0.63;15222;4;728;4;1
0;0;2920;64;1;511;3111089;0.836666667;1004;2;16;7;8
0;44920;5836;33;1;468;456294;1;8;5;110;3;2
0;0;6434;71;0;513;6117002;0.753333333;2350;2;0;7;4
0;26620;1272;56;1;430;142926;0.716666667;36;4;147;2;9
0;72466;493;37;0;447;350903;0.86;39;2;454;5;14
0;72900;17128;51;0;395;1398944;1;499;3;343;4;0
0;68058;777;34;0;413;518602;0.54;41;3;0;6;22
0;0;13299;65;1;493;677676;0.113333333;25166;3;0;4;63
0;36360;4450;45;1;446;558867;0.573333333;1403;4;380;6;3
0;0;3415;56;1;536;1004902;0.91;5623;5;0;7;4
0;23060;2197;46;0;450;209588;0.633333333;1028;3;31;2;13
1;68812;516;64;1;464;446121;0.56;409;2;101;6;13
0;21290;422;67;1;425;172530;0.863333333;14;2;55;4;15
0;36682;1285;71;0;483;431759;0.663333333;6675;3;0;2;4
0;42493;3006;59;1;471;150668;1;521;3;0;0;13
0;72179;3421;56;0;473;3197960;1;479;2;0;7;4
0;0;4110;62;1;554;1493958;0.536666667;16054;4;0;7;7
0;12924;301;52;0;489;244976;0.57;1530;2;0;3;9
0;28020;131;38;0;451;150666;0.956666667;0;1;6;5;9
0;11500;869;41;0;439;161787;0.273333333;6364;4;49;4;0
0;153060;36668;59;1;403;2895579;1;0;5;2153;5;0
0;227836;2709;47;1;493;1208068;0.736666667;420;3;76;6;25
0;8490;1050;66;0;393;161727;1;4;3;18;2;0
1;45680;416;45;0;441;425417;0.616666667;392;1;224;7;12
0;35470;1056;56;1;500;853796;0.68;241;1;27;7;11
0;0;5334;63;0;536;3778094;0.756666667;3412;3;0;8;6
0;22520;8194;31;1;400;75852;0.736666667;546;5;61;2;0
0;147400;20532;39;0;443;2018587;0.673333333;0;4;5123;5;5
0;16490;8556;46;0;445;150393;0.84;292;4;40;2;10
1;;23595;61;0;456;4890330;0.983333333;2919;6;278;4;2
1;107610;1279;60;0;497;1370573;0.946666667;319;1;0;7;7
1;77190;37349;66;1;463;755970;0.293333333;0;2;33;6;3
1;;18128;55;0;492;2180411;0.733333333;272;2;0;5;4
0;0;7763;43;1;557;3634074;0.463333333;6249;5;0;9;8
1;;535;57;0;540;233127;0.37;667;2;0;5;23
1;0;151;27;1;511;141440;0.496666667;146;2;0;5;11
1;61640;33475;44;0;474;2322841;1;2447;6;0;4;3
0;5910;124;26;0;384;104845;0.996666667;94;2;33;0;1
0;0;2466;59;0;531;269414;0.69;828;2;0;4;31
0;0;15190;57;1;550;650386;0.346666667;7784;3;0;8;14
0;226785;6016;53;0;438;1220767;0.99;76;5;180;5;16
0;36490;10481;30;1;387;673806;1;1159;6;1432;3;0
0;20324;1367;55;1;483;385494;0.413333333;153;2;0;9;7
0;86450;3853;31;0;382;833463;1;0;2;178;3;0
0;101390;36995;33;1;483;1018983;0.84;10371;5;0;2;10
0;45370;3293;79;0;454;1252438;0.996666667;0;2;280;7;4
0;82500;3098;32;1;448;2830487;0.943333333;285;2;119;6;3
0;47410;6868;66;0;442;1945705;1;0;2;205;1;0
0;69700;707;39;1;408;685773;0.586666667;120;1;64;4;10
0;19607;216;31;1;507;171616;0.556666667;478;1;0;3;8
0;44970;11341;45;1;491;716633;0.25;5027;3;0;5;10
0;0;615;30;0;530;500087;0.823333333;107;1;0;5;36
0;91050;800;74;0;451;875465;0.463333333;0;1;156;6;11
1;49890;1660;50;0;395;956574;0.41;1311;5;187;4;3
0;101240;11614;31;0;435;498081;0.873333333;5271;4;1247;5;13
0;23217;286;67;0;552;277057;0.346666667;523;2;0;7;54
0;4320;2635;58;1;395;75370;1;1334;4;27;0;0
